user_id,page_visited,previous_page,time_spent
801,petting,ambience,197
684,resolve,advisor,186
517,hemisphere,nondisclosure,192
876,dramatist,judgment,81
718,judgment,thirst,140
17,xylophone,guestbook,224
113,refugee,ecodesign,239
588,paraded,ease,36
47,x-ray,writer,195
540,guestbook,ease,57
595,yoga,hangar,231
644,jockey,jugular,199
279,nigeria,bacteriologist,229
923,distance,covariation,68
491,forwarding,killie,68
847,karma,collaborator,57
446,di,wind-chime,208
680,zeitgeist,baggy,207
850,oven,hesitation,220
283,quest,outrigger,136
595,yoyo,zoologist,133
428,inlet,quota,244
800,educator,outage,235
154,wind-chime,kern,97
696,procedure,regularity,103
750,alignment,popularity,83
270,miss,transition,165
331,unilevel,weedkiller,55
606,oven,vocal,43
767,minicab,spat,92
325,weedkiller,viscose,166
864,movie,hangar,228
963,festivity,tusk,195
384,zeitgeist,grease,39
844,quest,adviser,53
249,hesitation,transform,50
530,rebel,xylophone,171
481,forger,relationship,165
332,x-ray,quadrant,31
39,mid-october,tom,60
243,uneasiness,farrier,89
147,listlessness,hundred,47
719,repercussion,cure,66
265,grand,jockey,86
677,x-ray,lever,159
926,bride,ketchup,177
756,wriggle,killie,119
57,kern,knot,248
898,bees,outage,43
3,bees,oven,116
395,vision,ketchup,246
47,finalist,quilt,181
922,covariation,repercussion,36
994,baksheesh,paraded,224
998,leptocephalus,homosexuality,119
26,zephyr,quadrant,114
644,suburb,heavy,238
102,lid,inter-animation,216
14,undocking,collaborator,59
319,writer,paraded,224
788,viscose,petting,96
453,baksheesh,ease,27
132,make-up,adviser,124
851,oval,quest,97
203,zoologist,offer,21
515,longboat,transition,160
779,galley,forger,108
452,estimation,lox,32
479,covariation,x-ray,68
638,wick,jockey,206
475,fortune,quadtree,159
755,writer,hesitation,156
14,repercussion,distribution,185
165,repercussion,lever,185
753,nitrogen,transform,153
284,norm,killie,89
342,module,youth,89
503,doer,yield,141
739,zoologist,grand,60
103,apex,ranch,227
799,listlessness,quesadilla,99
129,paragraph,sacrifice,23
705,yesterday,cure,72
954,quotation,judgment,223
830,hemisphere,activist,54
667,wrapping,domino,221
338,yacht,rebel,176
724,kimberwick,oven,247
811,underwear,kimberwick,185
818,underwear,cardigan,229
418,dungaree,decorator,111
658,count,zombie,236
219,hostility,weedkiller,90
933,jeff,yam,133
849,quietness,horror,248
269,jockey,thanks,61
725,homosexuality,numero,213
724,xbox,hangar,98
350,daylight,quill,61
529,zebrafish,apex,41
168,homosexuality,usher,240
651,noodles,yoyo,221
935,zodiac,outage,76
597,quota,quiz,80
386,cross-stitch,count,107
451,lube,upgrade,235
442,kern,apex,84
209,mid-october,yolk,206
986,yoga,mid-air,187
360,zealander,zeitgeist,97
822,harpooner,powerhead,42
418,lox,hundred,221
390,tom,daylight,177
539,username,paraded,100
794,income,mug,177
376,perk,awkwardness,138
812,username,resolve,222
353,jeff,zither,214
699,popularity,noodles,207
840,yellowjacket,purity,71
628,inlet,yourself,211
649,mug,minicab,84
865,make-up,offer,206
916,x-ray,killie,188
3,yield,hostility,98
132,temptation,cure,132
951,kiosk,unshielded,154
837,future,zeitgeist,175
811,lid,yoga,194
743,nondisclosure,merchant,56
314,farrier,wick,119
331,estimation,idol,115
973,quiz,flame,42
422,nestling,spat,60
776,transition,kitchen,24
917,petting,nigeria,236
139,negotiation,yoga,225
599,future,friendship,141
406,homosexuality,quadrant,100
134,quotation,zealander,216
170,galley,registration,60
317,norm,employer,108
990,x-ray,market,131
514,x-ray,delegation,84
344,numismatist,muggle,167
77,quesadilla,muggle,93
752,norm,numero,81
655,nondisclosure,bees,158
40,xbox,quota,207
308,choker,menopause,143
613,vista,yesterday,29
657,miss,beanstalk,66
6,lyrics,businessman,229
317,zither,writing,150
236,finalist,farrier,72
755,registration,rebel,69
721,quill,ambience,113
174,intake,oval,149
640,inlet,heavy,122
532,quietness,resolve,232
522,zither,digital,41
596,opinion,fridge,21
775,paraded,kiosk,236
231,regularity,gaffer,72
729,quest,yard,109
129,lyre,nestling,217
300,kitchen,undocking,111
32,xbox,outage,146
848,sacrifice,cross-stitch,208
452,market,railroad,179
893,forger,allergist,119
949,cross-stitch,heavy,102
261,non-interference,make-up,116
384,opinion,plantain,136
405,mystery,chance,219
642,employer,ecodesign,155
539,tom,plantain,127
378,transform,walk,33
529,quota,transform,92
299,muggle,awkwardness,216
256,yesterday,karma,115
599,fanlight,unilevel,225
958,pivottable,estimation,166
12,zoo,jazz,20
984,ambience,advisor,112
371,driveway,plantain,158
439,thirst,enchiladas,73
531,admirer,dungaree,231
143,windsheild,balance,102
218,bees,vocal,101
267,homosexuality,quotation,68
956,empowerment,x-ray,66
594,bakery,grand,59
97,uneasiness,regularity,60
293,x-ray,purity,202
139,leptocephalus,x-ray,132
509,kiosk,homosexuality,131
461,zoo,quotation,167
369,quest,writing,139
532,dramatist,transition,245
470,zephyr,choker,152
929,clave,youngster,218
356,jeff,harpooner,240
885,coral,hothead,53
47,collaborator,domino,160
556,negotiation,vehicle,121
547,admirer,yarmulke,247
426,daylight,yoyo,241
615,relationship,offworlders,93
888,covariation,apex,95
475,cure,keeper,92
39,hundred,quietness,184
609,quill,tusk,193
147,coral,incitement,74
758,empowerment,redirect,105
433,hothead,rebel,217
922,zoologist,lyrics,174
856,berthage,zebrafish,162
691,zodiac,apex,214
980,zealander,grand,60
54,quiz,hundred,119
478,hemisphere,inter-animation,106
374,guestbook,perk,114
756,educator,berthage,130
706,jersey,walk,64
543,jersey,responsibility,217
163,writer,windsheild,55
879,karma,insulation,57
210,movie,stardom,106
49,ease,x-ray,116
662,rebel,mug,245
417,daylight,oven,193
364,wick,kern,57
639,offworlders,cross-stitch,217
365,miss,usher,22
54,kitchen,admirer,145
107,mid-air,awkwardness,238
104,zealander,powerhead,246
179,businessman,temptation,124
707,negotiation,zither,139
339,refugee,windsheild,89
206,count,popularity,144
237,offer,walk,174
924,youth,yolk,44
890,alignment,shirt,219
943,baksheesh,decongestant,243
824,yelling,registration,151
221,offworlders,beanstalk,76
636,doer,inter-animation,59
199,yoyo,routine,128
384,norm,registration,71
164,mid-october,jersey,79
501,juggling,mid-air,55
418,mycoplasma,writing,116
937,japan,quadrant,115
773,yacht,forwarding,179
923,refugee,outrigger,30
445,empowerment,hothead,182
97,lid,xbox,209
60,xbox,x-ray,157
440,chance,bun,68
85,petting,wrapping,44
708,judgment,zebrafish,106
46,norm,jugular,81
362,mycoplasma,libido,160
894,hemisphere,inter-animation,124
789,yesterday,paraded,216
343,mug,relationship,121
638,ease,bees,41
820,resolution,gaffer,87
434,railroad,offworlders,163
724,berthage,zither,20
928,incitement,begonia,109
773,economist,resolve,147
8,perk,thirst,174
233,tom,quest,219
668,railroad,employer,77
516,educator,noodles,30
402,intake,businessman,37
251,ingredient,upgrade,93
127,vocal,muggle,247
613,username,breeze,118
45,di,assistance,208
22,yolk,enchiladas,109
869,underwear,noodles,234
295,username,beanstalk,98
141,killie,mystery,45
342,zeitgeist,japanese,75
172,yacht,lid,97
188,wig,yelling,175
944,regularity,paraded,131
858,zephyr,clave,99
110,decongestant,oval,155
922,quesadilla,fortune,83
714,ambience,grease,58
555,mystery,bakery,118
730,non-interference,educator,36
365,vision,human,179
342,cure,offer,90
664,transform,menopause,152
890,japanese,forwarding,210
969,dramatist,minicab,224
547,non-interference,backdrop,64
957,employer,hatchling,247
173,quietness,x-ray,78
876,virtue,dungaree,34
59,viscose,quietness,136
670,ecodesign,relationship,56
766,writer,knot,46
177,wrapping,facade,66
956,inlet,lid,69
616,overhead,ranch,54
890,wrapping,projection,123
893,windsheild,yoyo,135
930,forwarding,quietness,108
367,daylight,advisor,193
358,listlessness,activist,229
516,minicab,judgment,56
210,virtue,responsibility,140
896,repercussion,quietness,29
965,idol,repercussion,46
276,weedkiller,jersey,30
816,overhead,mid-october,157
727,zephyr,grease,199
45,fridge,relationship,119
320,mid-october,quesadilla,177
400,virtue,nestling,210
49,kimberwick,upgrade,156
809,berthage,coral,24
37,libido,friendship,190
888,pivottable,bakery,204
611,x-ray,festivity,232
695,ambience,quadtree,26
887,quotation,begonia,37
971,x-ray,resolve,195
487,zoo,hovercraft,59
515,repercussion,adviser,59
603,ranch,lyrics,201
519,zoo,kiosk,54
21,tom,empowerment,31
153,merchant,apex,181
270,projection,tin,80
999,balance,xbox,118
535,fives,offer,168
510,judgment,menopause,136
820,youngster,employer,53
688,gelding,yourself,174
794,menopause,popularity,97
55,make-up,idol,180
186,lid,paragraph,207
127,quotation,galley,139
859,quesadilla,hovercraft,36
527,noodles,vocal,87
692,yoga,inter-animation,88
920,youth,temptation,203
6,icc,hostility,222
276,mug,integral,77
398,cardigan,youngster,227
663,enchiladas,kimberwick,218
608,forger,lever,132
281,cure,windsheild,98
101,juggling,fives,196
682,oval,galley,61
53,di,mid-air,75
484,relationship,human,143
285,zoo,fridge,81
517,non-interference,resolve,49
242,perk,zealander,69
873,friendship,routine,214
92,temptation,incitement,115
739,lyre,jockey,27
395,menopause,lever,232
548,judgment,employer,187
237,delegation,balance,234
810,quesadilla,lube,239
293,decorator,yoga,132
379,distance,lid,101
717,balance,kern,149
542,norm,quest,97
325,facade,regularity,209
120,dramatist,libido,101
112,resolve,viscose,121
820,market,zoologist,168
710,jugular,fanlight,244
274,lyre,regularity,41
388,x-ray,jeff,131
280,decongestant,collaborator,139
509,zebrafish,anti-semitism,34
651,notion,spat,153
292,bride,ranch,107
111,minicab,numismatist,231
479,zephyr,kitchen,60
402,cross-stitch,bacteriologist,212
965,underwear,future,162
37,minicab,resolution,67
744,username,incitement,35
826,refugee,homosexuality,244
500,beanstalk,writing,136
822,yoga,doer,119
949,yoga,x-ray,21
568,quest,yoyo,216
918,insulation,zombie,138
375,leptocephalus,xbox,33
579,lyrics,apex,159
561,relationship,yarmulke,77
47,allergist,japan,122
79,baggy,regularity,132
594,miss,powerhead,115
277,make-up,lever,94
484,yesterday,undocking,125
327,virtue,enchiladas,75
792,hovercraft,nestling,84
925,xylophone,yacht,124
208,japan,xbox,129
768,forwarding,outage,141
252,quiz,plantain,59
164,bride,xbox,165
708,allergist,username,128
110,fridge,judgment,112
891,xylophone,youth,177
806,flame,occurrence,182
4,x-ray,homosexuality,28
635,tom,petting,98
230,outrigger,windsheild,230
147,paraded,yoga,106
202,x-ray,longboat,182
482,opinion,procedure,179
425,clave,cure,232
271,killie,count,112
584,bees,icc,211
476,initiative,yoyo,73
525,shirt,ranch,113
933,villain,mid-air,100
833,empowerment,decongestant,55
781,zoo,beancurd,182
973,insulation,yoyo,65
246,enchiladas,perk,50
255,lube,yard,197
607,tin,nigeria,61
20,listlessness,jeff,60
405,lyrics,knot,179
45,yolk,overhead,187
500,sub,income,33
764,temptation,inter-animation,112
45,begonia,activist,109
541,ingredient,decorator,240
576,alignment,quadrant,204
551,yoga,lyrics,184
536,negotiation,lever,84
651,notion,occurrence,80
68,domino,projection,226
41,yelling,veal,243
297,farrier,unilevel,198
271,xbox,tom,248
242,dungaree,ketchup,229
731,digital,wick,138
3,farrier,purity,227
366,usher,registration,150
615,regularity,economist,70
992,baksheesh,xylophone,63
479,employer,yesterday,26
208,rebel,needlework,153
459,quota,knot,50
203,galley,quill,74
216,decongestant,noodles,123
762,businessman,wriggle,188
146,merchant,overhead,112
302,villain,shirt,172
537,x-ray,jazz,144
181,thanks,kern,149
766,ease,opinion,214
68,hundred,quota,109
228,zebrafish,economist,144
148,vocal,distance,156
393,chance,jersey,79
151,yield,bees,128
780,wind-chime,petting,200
585,thanks,lube,205
334,procedure,awkwardness,27
33,horror,perk,113
883,mid-air,allergist,46
143,pivottable,judgment,77
128,cloth,bakery,129
669,collaborator,hangar,199
908,assistance,hardcover,123
312,occurrence,resolution,103
928,jazz,mycoplasma,230
678,distribution,unity,31
249,paraded,railroad,156
16,hovercraft,sub,215
402,rebel,berthage,100
775,cure,quota,170
492,distillery,occurrence,26
479,instability,temptation,138
112,hundred,doer,87
264,jugular,income,214
945,tusk,noodles,105
658,ambience,granola,206
357,resolution,suburb,56
46,unity,transit,167
714,pivottable,sub,197
874,youngster,horror,50
474,quest,driveway,84
483,username,ingredient,205
105,routine,zeitgeist,135
81,lid,railroad,141
195,numero,suburb,127
576,beancurd,yoga,147
601,businessman,uneasiness,194
595,stardom,chance,100
802,beanstalk,zeitgeist,194
161,kosa,facade,29
580,incitement,breeze,190
906,stardom,underperformance,134
26,distance,registration,78
920,future,xylophone,129
60,x-ray,zoologist,157
616,di,japan,83
868,fanlight,refugee,96
208,kitchen,quotation,103
669,username,jockey,207
72,railroad,doer,242
740,powerhead,mystery,100
555,quest,mystery,226
417,yoga,ranch,58
757,homosexuality,jersey,179
868,zeitgeist,procedure,26
676,zephyr,writing,45
322,yolk,gaffer,117
616,virtue,jockey,30
887,keeper,lyre,165
476,dungaree,petting,189
554,dungaree,norm,161
637,festivity,zephyr,181
230,repercussion,human,31
840,yourself,idol,43
221,market,yoga,41
301,procedure,income,72
285,tusk,viscose,191
504,bun,grand,117
452,rebel,merchant,33
172,mid-october,needlework,131
501,decongestant,underperformance,185
400,juggling,shirt,24
923,decongestant,clave,221
316,negotiation,jugular,121
747,wig,mycoplasma,124
658,fortune,offworlders,187
276,yam,pivottable,222
975,economist,upgrade,201
887,market,bride,202
624,finalist,kosa,242
824,perk,menopause,30
784,notion,noodles,178
725,quadrant,module,80
590,kimberwick,temptation,151
76,wind-chime,railroad,45
721,cloth,movie,82
398,fives,zoo,119
38,quadtree,popularity,112
64,estimation,awkwardness,200
845,villain,kiosk,52
119,coral,berthage,166
569,gaffer,regularity,75
417,pinecone,resolve,133
886,yesterday,intake,185
896,movie,registration,68
107,quesadilla,underwear,44
431,driveway,routine,86
864,repercussion,weedkiller,22
772,lyrics,weedkiller,112
742,writing,transit,115
431,heavy,allergist,89
451,educator,flame,168
911,breeze,knot,164
477,nitrogen,underperformance,86
33,mystery,jazz,121
964,estimation,empowerment,150
370,quilt,stardom,64
842,lox,adviser,77
609,yard,initiative,68
564,doer,yellowjacket,82
304,idol,lyrics,228
607,nestling,educator,36
786,underwear,insulation,198
509,username,upgrade,175
964,transform,quill,70
112,usher,resolution,110
101,japan,reef,164
987,guestbook,quest,174
999,distillery,wick,98
550,knot,jersey,57
262,wig,mycoplasma,185
632,ease,windsheild,56
309,writer,knot,158
380,human,virtue,108
798,economist,distribution,189
286,lyrics,youngster,35
552,distribution,human,20
725,nitrogen,xbox,81
1000,admirer,initiative,200
576,xylophone,yarmulke,146
595,farrier,norm,116
523,enchiladas,choker,120
799,quiz,zealander,157
257,usher,yelling,206
207,x-ray,nigeria,164
409,unity,dramatist,43
886,integral,distribution,246
90,unilevel,fives,120
160,repercussion,wig,136
496,yoyo,breeze,167
446,killie,villain,243
911,yelling,routine,180
672,dungaree,longboat,59
996,icc,spat,73
986,nitrogen,yesterday,55
873,walk,lid,238
609,facade,ketchup,75
816,wind-chime,decorator,79
725,responsibility,jazz,132
724,offworlders,cardigan,182
143,zoo,zeitgeist,125
333,registration,chance,153
457,yogurt,x-ray,158
370,notification,powerhead,65
322,unity,x-ray,33
70,yellowjacket,mystery,169
121,jugular,hatchling,142
957,bakery,tom,171
343,begonia,domino,244
574,kern,driveway,157
503,kiosk,backcloth,221
488,uneasiness,minicab,214
359,mycoplasma,covariation,24
470,zodiac,galley,234
966,notification,distribution,57
237,harpooner,future,30
870,notification,unity,107
467,gelding,hesitation,233
569,grease,yoyo,151
847,procedure,miss,65
468,x-ray,hesitation,59
325,veal,bakery,132
992,yield,instability,134
865,keeper,balance,137
382,doer,admirer,59
704,enchiladas,routine,76
417,lube,x-ray,189
844,income,thirst,246
613,merchant,heavy,218
70,registration,insulation,81
683,numismatist,apex,179
732,offer,balance,79
620,repercussion,gelding,227
450,ecodesign,future,30
851,future,outage,118
522,hostility,responsibility,52
601,petting,regularity,245
110,underwear,instability,78
15,quiz,quilt,212
450,well-off,lever,90
815,negotiation,nitrogen,211
702,yoyo,yam,241
145,ecodesign,facade,136
228,yoga,plantain,47
216,awkwardness,numismatist,143
543,underwear,economist,185
209,backdrop,responsibility,78
925,choker,sacrifice,184
164,upgrade,regularity,103
440,unilevel,youth,148
186,educator,vista,131
608,noodles,module,99
980,di,cross-stitch,32
298,needlework,regularity,125
2,breeze,weedkiller,198
867,make-up,cross-stitch,235
561,decorator,petting,208
821,refugee,backdrop,199
235,zephyr,doer,155
857,kimberwick,decongestant,209
203,bride,shirt,117
963,zombie,ambience,204
525,market,forwarding,186
665,x-ray,numismatist,94
138,dungaree,quota,104
51,insulation,yolk,43
897,kitchen,tusk,182
20,quota,x-ray,177
735,muggle,clave,23
967,yesterday,inter-animation,208
816,balance,knot,244
330,minicab,icc,103
563,underwear,unshielded,225
86,reef,thanks,190
265,transform,writing,68
868,relationship,muggle,99
981,zealander,wind-chime,131
185,xylophone,cardigan,94
749,cloth,negotiation,116
354,thirst,breeze,84
639,perk,non-interference,138
776,wrapping,hothead,59
636,friendship,decongestant,200
317,temptation,instability,87
305,railroad,quota,78
613,ingredient,farrier,245
296,gazebo,enchiladas,150
269,numismatist,quadrant,82
811,jazz,zebrafish,180
119,unilevel,mystery,233
897,overhead,transit,23
884,paragraph,movie,191
86,tusk,quill,98
831,apex,gelding,103
887,uneasiness,judgment,86
272,rebel,listlessness,149
691,vehicle,norm,236
558,sacrifice,hatchling,136
315,hemisphere,lube,216
396,needlework,yesterday,225
121,market,notification,94
292,instability,shirt,152
564,x-ray,sub,64
902,thatch,username,144
491,nigeria,yield,147
26,thatch,advisor,103
221,muggle,mug,130
633,backdrop,yard,30
247,well-off,ranch,166
231,adviser,jersey,160
13,viscose,wrapping,99
491,xylophone,quill,147
774,transform,unilevel,138
981,gelding,redirect,247
892,noodles,yoga,44
743,upgrade,decorator,146
729,minicab,unilevel,132
813,vision,bride,185
675,muggle,quiz,80
612,windsheild,backcloth,76
409,hangar,usher,187
725,karma,incitement,102
364,flame,underwear,67
827,dramatist,lyre,76
182,jugular,xbox,218
656,libido,yacht,58
205,yoga,activist,234
236,jockey,yacht,36
8,kimberwick,usher,47
174,merchant,veal,152
152,tusk,paragraph,28
536,farrier,lube,151
872,guestbook,numero,185
374,outage,icc,221
782,kiosk,educator,111
7,idol,usher,117
991,jazz,nitrogen,91
850,writer,muggle,243
206,kern,distance,160
66,killie,underperformance,119
333,projection,hemisphere,75
122,human,weedkiller,42
633,baggy,resolution,164
521,grand,count,156
306,killie,plantain,41
751,nitrogen,registration,59
520,shirt,stardom,134
589,fortune,redirect,123
255,youth,mid-air,157
881,activist,ecodesign,89
963,username,mug,56
15,dungaree,zodiac,33
476,lid,gaffer,64
608,ingredient,integral,225
115,covariation,allergist,53
950,routine,unshielded,89
370,quotation,quiz,130
862,incitement,zodiac,239
784,sub,quesadilla,80
524,yoga,gaffer,204
730,idol,facade,61
842,yield,x-ray,181
602,quilt,decorator,33
984,xylophone,projection,245
340,outage,projection,239
757,ranch,zeitgeist,170
563,writing,nestling,153
172,yam,baksheesh,30
736,quadtree,redirect,178
855,thirst,needlework,196
539,backdrop,grand,234
160,yard,dramatist,245
327,kern,minicab,88
890,distillery,flame,110
314,intake,well-off,164
564,vista,quadtree,158
362,flame,choker,58
965,integral,economist,130
184,jersey,hatchling,107
544,driveway,underwear,190
992,kern,numismatist,146
82,nitrogen,lyre,246
903,username,rebel,83
542,regularity,lyre,169
115,windsheild,bacteriologist,246
783,economist,module,30
454,keeper,hardcover,70
334,xbox,inter-animation,78
467,hardcover,jazz,153
303,initiative,friendship,242
103,minicab,mid-october,153
593,leptocephalus,fortune,152
297,integral,wriggle,165
474,gaffer,domino,23
649,alignment,cross-stitch,231
526,berthage,x-ray,39
804,purity,underwear,38
344,collaborator,quest,79
678,zoo,yoga,117
774,tom,shirt,220
310,backcloth,tin,132
817,assistance,popularity,74
949,upgrade,insulation,156
330,relationship,baggy,223
590,tin,empowerment,31
726,notification,virtue,195
279,repercussion,quill,233
595,yarmulke,transit,68
334,leptocephalus,opinion,68
256,tusk,undocking,128
37,berthage,menopause,217
88,mystery,xylophone,215
502,perk,zealander,194
935,noodles,transit,106
903,pivottable,bacteriologist,82
658,anti-semitism,keeper,236
975,bees,resolve,246
179,horror,farrier,44
86,thirst,ingredient,50
331,activist,zoologist,159
728,admirer,kimberwick,139
78,distillery,inlet,112
802,grand,jugular,104
10,dramatist,yesterday,125
395,quesadilla,yourself,146
407,inlet,dungaree,117
404,leptocephalus,zombie,246
695,quadtree,upgrade,31
512,vocal,x-ray,124
79,yogurt,yard,243
196,employer,backdrop,191
900,businessman,responsibility,163
248,yoyo,cardigan,128
559,forwarding,norm,150
315,yolk,ecodesign,212
873,karma,nestling,139
978,youth,digital,80
847,xylophone,quota,110
609,yard,bakery,78
254,yolk,market,120
736,insulation,hemisphere,241
111,quesadilla,procedure,45
351,japan,windsheild,108
764,decongestant,xylophone,152
481,distribution,inter-animation,216
616,thirst,jeff,135
780,upgrade,yellowjacket,227
203,procedure,resolve,135
119,outrigger,paragraph,205
203,notification,backcloth,210
211,jockey,granola,41
132,hangar,fridge,218
74,mystery,regularity,237
33,distillery,ranch,119
723,lyre,thanks,64
615,bees,choker,128
243,quotation,yoyo,56
728,outage,instability,104
148,baggy,jockey,187
645,walk,empowerment,84
17,non-interference,covariation,174
995,upgrade,sub,225
296,menopause,yoga,22
215,initiative,uneasiness,103
430,hemisphere,yogurt,155
113,distillery,yarmulke,228
358,mug,di,168
828,oval,hemisphere,203
290,distribution,hemisphere,90
300,overhead,bacteriologist,67
575,mug,xbox,163
710,awkwardness,jugular,165
829,zeitgeist,bakery,170
851,pivottable,wick,105
909,negotiation,yacht,155
692,zodiac,x-ray,30
96,icc,begonia,176
935,unshielded,petting,38
38,zoo,gelding,232
792,distillery,yourself,45
476,friendship,finalist,204
256,tom,quiz,213
268,clave,granola,82
634,bees,upgrade,200
241,icc,needlework,77
688,lyrics,yoga,60
943,japanese,popularity,90
89,admirer,grand,142
735,quadrant,judgment,125
326,transit,xylophone,53
720,nitrogen,baksheesh,34
416,dramatist,tin,98
919,lube,outage,223
539,make-up,instability,179
535,quest,negotiation,222
470,walk,japan,37
769,decorator,kitchen,118
936,grand,inlet,224
381,vehicle,adviser,203
252,kosa,employer,125
255,wick,popularity,27
589,zodiac,zoo,136
738,transit,kiosk,51
226,walk,sub,165
615,quota,wrapping,53
379,quietness,future,58
751,outrigger,writer,67
81,username,powerhead,110
140,collaborator,bun,175
489,keeper,quotation,232
964,fanlight,coral,54
793,fives,resolve,86
525,walk,quota,221
890,libido,paraded,227
218,choker,transit,52
652,hovercraft,farrier,133
59,usher,zoo,94
692,driveway,anti-semitism,98
472,heavy,transform,178
704,decorator,relationship,121
967,youngster,dungaree,248
513,cardigan,youth,203
153,vocal,username,177
39,beancurd,pivottable,71
553,karma,baggy,140
680,baksheesh,daylight,196
604,quota,xylophone,31
722,transform,x-ray,156
249,mystery,karma,112
772,ingredient,balance,163
201,beanstalk,fives,185
672,zephyr,gelding,215
272,di,wig,144
427,refugee,quiz,61
930,hothead,vocal,148
971,knot,mystery,51
630,bees,market,185
807,wick,karma,224
102,thirst,jeff,85
443,nondisclosure,uneasiness,60
548,businessman,hesitation,188
537,guestbook,jeff,162
966,yelling,vehicle,121
135,distance,di,49
339,baksheesh,heavy,61
79,opinion,xbox,82
932,oven,merchant,105
730,tusk,adviser,120
907,keeper,oven,30
92,yolk,coral,210
990,kimberwick,x-ray,74
3,kiosk,veal,149
796,judgment,digital,151
591,forwarding,awkwardness,230
766,clave,fridge,73
459,unshielded,quiz,60
623,forwarding,x-ray,139
826,weedkiller,dramatist,33
948,module,heavy,100
250,galley,integral,63
909,finalist,transform,168
516,opinion,di,98
593,flame,granola,117
953,wick,resolution,174
749,icc,oven,69
62,gazebo,wriggle,152
293,begonia,miss,172
288,coral,writing,106
929,backdrop,youngster,176
265,quill,perk,79
521,baksheesh,hothead,127
105,fives,refugee,159
609,resolution,choker,46
148,xylophone,heavy,164
613,yoyo,heavy,237
818,inter-animation,assistance,112
213,enchiladas,judgment,132
386,empowerment,instability,113
938,alignment,xylophone,213
61,jazz,vehicle,172
983,rebel,quotation,25
497,wig,granola,67
128,inlet,well-off,165
259,knot,yacht,233
709,digital,bacteriologist,66
907,allergist,japanese,23
152,hostility,projection,129
691,zealander,occurrence,237
354,jazz,juggling,94
280,di,xylophone,218
578,miss,distillery,212
663,flame,keeper,66
941,wig,yoga,133
432,walk,upgrade,48
630,ease,oval,41
918,hangar,transform,219
87,zoologist,fortune,125
29,longboat,yesterday,74
974,yelling,kitchen,210
506,merchant,japanese,238
73,unshielded,driveway,105
462,quiz,zoo,215
833,zephyr,weedkiller,197
427,ketchup,numismatist,244
834,fives,lyrics,29
133,farrier,begonia,180
